Thermoforming mold,,,,,,,,,,,,,,,,
Trial,Overlap [mm],Cutting depth [mm],Cooling lubricant,Tools,Number of teeth,fz [mm],Dc [mm],Material,Vc [mm/min],Calculated spindle speed [1/min],Factor,Exact spindle speed [U/min],Spindle Speed [U/min],Feedrate [mm/min],NC-Code,Comment
IM-01F-A01,0.5,0.5,no,VHM,4,2.2460000000000001E-2,10,S235JR,140,4456.3384065730697,100,4456.3384065730697,4450,399.78800000000001,IM-01F,Finishing with irregular stock allowance
,,,,,,,,,,,,,,,,
Impeller,,,,,,,,,,,,,,,,
Trial,Optimal Overlap [mm],Optimal Cutting depth [mm],Cooling lubricant,Tools,Number of teeth,fz [mm],Dc [mm],Material,Vc [mm/min],Calculated spindle speed [U/min],Factor,Exact spindle speed [U/min],Spindle Speed [U/min],Feedrate [mm/min],NC-Code,Comment
IMP-BASE,2.5,5,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-BASE,
IMP-01,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-01,
IMP-02,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-02,
IMP-03,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-03,
IMP-04,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-04,
IMP-05,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-05,
IMP-06,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-06,
IMP-07,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-07,
IMP-08,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-08,
IMP-09,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-09,
IMP-10,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-10,
IMP-11,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-11,
IMP-12,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-12,
IMP-01-A01,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-01-A01,Cavities (axial)
IMP-01-A02,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-01-A02,Cavity (radial)
IMP-01-A03,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-01-A03,Cracks
IMP-01-A04,2.5,8,no,VHM,2,0.03,5,POM-C,126,8021.409131831525,100,8021.4091318315241,8000,480,IMP-01-A04,Chipped Edge
